iter	RMSE
0	22.27054197
1	20.47110442
2	18.77593419
3	17.3330066
4	16.00731211
5	14.74390789
6	13.64285822
7	12.6382005
8	11.65900523
9	10.78954143
10	9.998724878
11	9.330270714
12	8.674158845
13	8.080624375
14	7.592349777
15	7.134703647
16	6.700109494
17	6.340037182
18	6.004132056
19	5.716030246
20	5.466982587
21	5.233990807
22	5.02074387
23	4.832716394
24	4.640295871
25	4.48498842
26	4.371106579
27	4.255237121
28	4.147848799
29	4.055218668
30	3.96670268
31	3.880861983
32	3.821440279
33	3.752866355
34	3.693304625
35	3.610305307
36	3.548367218
37	3.437518505
38	3.383386693
39	3.334429352
40	3.281098459
41	3.24794813
42	3.208704073
43	3.167817751
44	3.111838285
45	3.104358181
46	3.067873241
47	3.034965793
48	3.023738238
49	3.011973149
50	2.951806888
51	2.935730445
52	2.934317139
53	2.91782847
54	2.855776812
55	2.838156419
56	2.814317336
57	2.795588946
58	2.764415705
59	2.747984302
60	2.717807185
61	2.712008464
62	2.684128107
63	2.675332579
64	2.656527234
65	2.644405248
66	2.627077249
67	2.606441525
68	2.580366829
69	2.555317799
70	2.550895954
71	2.529120762
72	2.508994333
73	2.495047203
74	2.476503685
75	2.46252176
76	2.450256407
77	2.437916083
78	2.434902359
79	2.426902582
80	2.425606968
81	2.411295243
82	2.402078075
83	2.394297256
84	2.382372556
85	2.37342724
86	2.368279986
87	2.357411244
88	2.346057821
89	2.341290879
90	2.329625384
91	2.32275135
92	2.30770972
93	2.298293499
94	2.295808295
95	2.291380609
96	2.272306314
97	2.265070912
98	2.258709527
99	2.254049376
100	2.250103867
101	2.244999424
102	2.242088823
103	2.236849858
104	2.234805828
105	2.23159688
106	2.228120222
107	2.227591767
108	2.22372909
109	2.220740064
110	2.219011502
111	2.215700916
112	2.210846971
113	2.20795628
114	2.203861065
115	2.201091566
116	2.188977208
117	2.185060655
118	2.180793787
119	2.178725962
120	2.174014783
121	2.171120159
122	2.169541425
123	2.167105771
124	2.162422165
125	2.160250182
126	2.155185509
127	2.153060576
128	2.152713108
129	2.149268292
130	2.146748849
131	2.144592918
132	2.131747794
133	2.130087624
134	2.119236038
135	2.11780746
136	2.110095571
137	2.10285392
138	2.099782306
139	2.097262636
140	2.090693794
141	2.088765375
142	2.080619437
143	2.079152672
144	2.078671779
145	2.076061359
146	2.072858762
147	2.070764991
148	2.068348933
149	2.06577385
150	2.064049373
151	2.063281655
152	2.059517662
153	2.05887657
154	2.058346082
155	2.051718142
156	2.050375328
157	2.049363738
158	2.04655759
159	2.046005999
160	2.045169635
161	2.038002474
162	2.037069362
163	2.033377989
164	2.028762853
165	2.027672051
166	2.025255892
167	2.024442729
168	2.02222995
169	2.02144334
170	2.019831078
171	2.019297251
172	2.018142942
173	2.017481713
174	2.014243614
175	2.013048158
176	2.010606008
177	2.006679943
178	2.00646696
179	2.003608955
180	2.002634802
181	2.001284409
182	2.000182276
183	1.999762069
184	1.999579018
185	1.998799779
186	1.997646208
187	1.996820843
188	1.995777943
189	1.990754647
190	1.990075854
191	1.988369714
192	1.988157607
193	1.987230441
194	1.986830923
195	1.986627638
196	1.985939434
197	1.976571567
198	1.97622623
199	1.975995902
200	1.975980704
201	1.975601969
202	1.974422076
203	1.974388101
204	1.974204833
205	1.973020685
206	1.972638798
207	1.969427288
208	1.96797038
209	1.967523186
210	1.962513249
211	1.961900833
212	1.958488766
213	1.958271569
214	1.957482389
215	1.955365566
216	1.954761695
217	1.954599119
218	1.950771085
219	1.950418894
220	1.950143001
221	1.949872496
222	1.949842544
223	1.949378232
224	1.949375499
225	1.948794477
226	1.937639545
227	1.937528496
228	1.93044729
229	1.930338427
230	1.930336073
231	1.929207641
232	1.928504007
233	1.928379124
234	1.928377825
235	1.928304838
236	1.928163053
237	1.921652792
238	1.921325187
239	1.921107176
240	1.920971697
241	1.91999797
242	1.917917113
243	1.917160008
244	1.914645442
245	1.913914209
246	1.910287936
247	1.91021852
248	1.90943482
249	1.906749754
250	1.906517754
251	1.906269537
252	1.906095892
253	1.905408267
254	1.896911754
255	1.891469469
256	1.884284023
257	1.874369012
258	1.869388279
259	1.869319141
260	1.868466857
261	1.861017981
262	1.856578352
263	1.856036087
264	1.854645636
265	1.854264878
266	1.853269467
267	1.852786381
268	1.850474066
269	1.850199814
270	1.844828364
271	1.844269094
272	1.83757119
273	1.836962592
274	1.836479767
275	1.835432712
276	1.830070907
277	1.82958457
278	1.822562112
279	1.822213325
280	1.821625221
281	1.814950756
282	1.814566738
283	1.813492154
284	1.812724306
285	1.812116239
286	1.811866786
287	1.81167104
288	1.810062186
289	1.808074267
290	1.800530767
291	1.79970655
292	1.799498151
293	1.799143531
294	1.797774464
295	1.797707772
296	1.795595868
297	1.79483068
298	1.793933303
299	1.790666009
