iter	Passed	Remaining
0	83	25065
1	118	17603
2	147	14649
3	195	14460
4	224	13268
5	253	12432
6	284	11920
7	318	11642
8	348	11279
9	378	10979
10	409	10754
11	438	10522
12	467	10323
13	497	10165
14	526	9995
15	555	9854
16	584	9725
17	613	9617
18	643	9512
19	673	9424
20	702	9336
21	732	9253
22	761	9171
23	790	9094
24	821	9031
25	850	8966
26	876	8859
27	906	8804
28	940	8788
29	973	8762
30	1004	8715
31	1034	8664
32	1067	8633
33	1096	8580
34	1127	8534
35	1173	8603
36	1205	8572
37	1234	8511
38	1263	8458
39	1294	8412
40	1330	8406
41	1361	8363
42	1392	8322
43	1423	8282
44	1453	8237
45	1468	8110
46	1498	8064
47	1528	8023
48	1558	7980
49	1583	7915
50	1613	7877
51	1642	7835
52	1654	7708
53	1683	7669
54	1713	7631
55	1741	7590
56	1770	7549
57	1800	7512
58	1830	7475
59	1859	7436
60	1888	7399
61	1920	7372
62	1952	7344
63	1984	7318
64	2013	7281
65	2043	7245
66	2073	7210
67	2103	7175
68	2133	7141
69	2178	7158
70	2207	7120
71	2236	7081
72	2265	7044
73	2294	7008
74	2324	6973
75	2353	6937
76	2383	6902
77	2412	6865
78	2442	6832
79	2471	6796
80	2491	6736
81	2520	6700
82	2549	6666
83	2578	6630
84	2607	6595
85	2637	6563
86	2666	6529
87	2696	6496
88	2726	6462
89	2755	6430
90	2785	6396
91	2816	6366
92	2846	6334
93	2875	6302
94	2907	6274
95	2940	6248
96	2970	6216
97	3000	6183
98	3029	6151
99	3059	6119
100	3089	6086
101	3118	6052
102	3152	6029
103	3188	6008
104	3216	5974
105	3246	5941
106	3277	5911
107	3307	5879
108	3336	5847
109	3367	5816
110	3397	5784
111	3426	5752
112	3456	5720
113	3486	5687
114	3515	5655
115	3545	5623
116	3574	5590
117	3603	5557
118	3633	5526
119	3663	5495
120	3692	5462
121	3721	5430
122	3751	5398
123	3780	5366
124	3810	5334
125	3843	5307
126	3873	5276
127	3908	5252
128	3941	5225
129	3979	5203
130	4010	5173
131	4040	5142
132	4070	5111
133	4099	5078
134	4129	5046
135	4176	5036
136	4204	5002
137	4232	4969
138	4262	4937
139	4293	4906
140	4322	4874
141	4351	4841
142	4381	4810
143	4411	4779
144	4442	4748
145	4476	4721
146	4505	4689
147	4536	4658
148	4565	4626
149	4595	4595
150	4624	4563
151	4654	4532
152	4684	4501
153	4714	4469
154	4743	4437
155	4773	4406
156	4803	4374
157	4832	4342
158	4862	4311
159	4894	4283
160	4927	4254
161	4957	4222
162	4987	4191
163	5016	4159
164	5045	4128
165	5075	4097
166	5105	4066
167	5137	4036
168	5181	4016
169	5210	3984
170	5239	3952
171	5269	3921
172	5299	3890
173	5328	3858
174	5357	3826
175	5387	3795
176	5416	3764
177	5445	3732
178	5476	3701
179	5506	3670
180	5536	3640
181	5566	3609
182	5596	3577
183	5631	3550
184	5665	3521
185	5697	3491
186	5726	3460
187	5755	3428
188	5784	3397
189	5814	3366
190	5843	3334
191	5872	3303
192	5904	3273
193	5939	3245
194	5969	3214
195	5999	3183
196	6028	3152
197	6060	3122
198	6090	3091
199	6121	3060
200	6137	3023
201	6173	2995
202	6201	2963
203	6216	2925
204	6245	2894
205	6275	2863
206	6307	2833
207	6336	2802
208	6366	2771
209	6395	2741
210	6424	2709
211	6453	2678
212	6483	2648
213	6513	2617
214	6542	2586
215	6573	2556
216	6603	2525
217	6633	2495
218	6663	2464
219	6693	2433
220	6722	2403
221	6752	2372
222	6763	2335
223	6787	2302
224	6798	2266
225	6827	2235
226	6857	2205
227	6889	2175
228	6922	2146
229	6951	2115
230	6962	2079
231	6991	2049
232	7021	2019
233	7050	1988
234	7061	1953
235	7077	1919
236	7110	1890
237	7154	1863
238	7183	1833
239	7212	1803
240	7241	1772
241	7271	1742
242	7300	1712
243	7330	1682
244	7361	1652
245	7391	1622
246	7420	1592
247	7445	1561
248	7475	1531
249	7504	1500
250	7534	1470
251	7564	1440
252	7593	1410
253	7624	1380
254	7655	1350
255	7684	1320
256	7712	1290
257	7743	1260
258	7773	1230
259	7803	1200
260	7832	1170
261	7861	1140
262	7893	1110
263	7927	1080
264	7962	1051
265	7991	1021
266	8020	991
267	8049	961
268	8078	931
269	8108	900
270	8160	873
271	8190	843
272	8222	813
273	8254	783
274	8285	753
275	8318	723
276	8350	693
277	8380	663
278	8409	632
279	8438	602
280	8468	572
281	8498	542
282	8527	512
283	8557	482
284	8586	451
285	8615	421
286	8645	391
287	8674	361
288	8704	331
289	8733	301
290	8764	271
291	8792	240
292	8821	210
293	8851	180
294	8883	150
295	8913	120
296	8942	90
297	8972	60
298	9001	30
299	9030	0
